tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
7448504,149286500,1,11532,149287171,-0.0770042,-0.402968,1.35239,-0.0632593,-0.703779,1.35701,-0.0232011,-0.774106,1.35682,0.101422,-0.414975,1.34563,0.0940823,-0.698857,1.37352,0.0867505,-0.729847,1.22882,43,-1.50238,0.0771024,0.297032,-1.507,0.0633578,-0.00377941,-1.50681,0.0232996,-0.0741056,-1.49564,-0.101324,0.285025,-1.52353,-0.0939828,0.00114346,-1.37882,-0.0866604,-0.0298465,
7448504,149286500,1,11566,149287203,-0.0769231,-0.402804,1.35234,-0.0629477,-0.703649,1.3574,-0.066299,-0.734359,1.21279,0.101494,-0.414849,1.34557,0.0940223,-0.698934,1.37343,0.0866839,-0.729923,1.22872,75,-1.50233,0.0770213,0.297196,-1.50739,0.0630462,-0.00364882,-1.36279,0.0663881,-0.0343587,-1.49558,-0.101397,0.285151,-1.52343,-0.0939228,0.00106555,-1.37873,-0.0865938,-0.0299228,
7448504,149286500,1,11600,149287250,-0.0769385,-0.40278,1.35238,-0.0631476,-0.703341,1.35706,-0.0664837,-0.734055,1.21245,0.101488,-0.414863,1.34564,0.0940595,-0.698914,1.37347,0.0867298,-0.729905,1.22876,30,-1.50237,0.0770367,0.29722,-1.50705,0.063246,-0.0033412,-1.36245,0.0665727,-0.0340552,-1.49565,-0.10139,0.285137,-1.52347,-0.0939599,0.00108612,-1.37876,-0.0866397,-0.0299045,
7448504,149286500,1,11633,149287281,-0.0769233,-0.402773,1.35241,-0.0629529,-0.702854,1.35705,-0.0225926,-0.773023,1.35697,0.101495,-0.414861,1.34564,0.0939803,-0.699261,1.37365,0.0866516,-0.730249,1.22895,62,-1.5024,0.0770214,0.297227,-1.50705,0.0630513,-0.00285351,-1.50697,0.022691,-0.0730231,-1.49565,-0.101398,0.285139,-1.52366,-0.0938808,0.000738978,-1.37895,-0.0865615,-0.0302489,
7448504,149286500,1,11732,149287375,-0.0771316,-0.402811,1.35265,-0.0628671,-0.703139,1.35696,-0.0218855,-0.772848,1.35733,0.101486,-0.414694,1.34564,0.0939972,-0.699427,1.37352,0.086656,-0.730408,1.22882,64,-1.50265,0.0772298,0.297189,-1.50696,0.0629656,-0.00313878,-1.50733,0.021984,-0.0728484,-1.49564,-0.101389,0.285306,-1.52353,-0.0938977,0.00057292,-1.37882,-0.0865659,-0.0304081,
7448504,149286500,1,11766,149287406,-0.0772333,-0.403004,1.35278,-0.062041,-0.703315,1.35708,-0.0224443,-0.77364,1.35741,0.101488,-0.414636,1.34554,0.0939692,-0.69935,1.37343,0.0866084,-0.730235,1.22868,96,-1.50278,0.0773315,0.296996,-1.50708,0.0621395,-0.00331539,-1.50741,0.0225428,-0.0736402,-1.49555,-0.101391,0.285364,-1.52344,-0.0938697,0.000650465,-1.37869,-0.0865183,-0.0302348,
7448504,149286500,1,11800,149287453,-0.0773968,-0.403096,1.35298,-0.0620806,-0.70333,1.35689,-0.0654887,-0.733941,1.21223,0.101468,-0.414612,1.34536,0.093671,-0.700664,1.37378,0.0863079,-0.731521,1.22903,35,-1.50298,0.077495,0.296904,-1.50688,0.0621791,-0.00333017,-1.36222,0.0655777,-0.0339407,-1.49537,-0.10137,0.285388,-1.52378,-0.0935715,-0.000664353,-1.37904,-0.0862178,-0.0315211,
7448504,149286500,1,11832,149287484,-0.0775984,-0.403417,1.35333,-0.0615179,-0.70394,1.35761,-0.0649532,-0.734542,1.21296,0.101417,-0.414616,1.34534,0.093651,-0.700617,1.37373,0.0862764,-0.731471,1.22899,67,-1.50333,0.0776966,0.296583,-1.50761,0.0616165,-0.00394011,-1.36295,0.0650422,-0.0345424,-1.49534,-0.101319,0.285384,-1.52374,-0.0935514,-0.00061661,-1.379,-0.0861863,-0.0314708,
7448504,149286500,1,11865,149287500,-0.0777365,-0.403324,1.35347,-0.0615868,-0.703992,1.35753,-0.065025,-0.73459,1.21288,0.101403,-0.414624,1.34532,0.0934637,-0.700768,1.37373,0.0860892,-0.731617,1.22899,83,-1.50347,0.0778347,0.296676,-1.50753,0.0616854,-0.00399238,-1.36287,0.065114,-0.0345903,-1.49533,-0.101305,0.285376,-1.52373,-0.0933642,-0.000768304,-1.37899,-0.0859991,-0.0316166,
7448504,149286500,1,11900,149287531,-0.0779552,-0.40319,1.35373,-0.0615499,-0.704049,1.35751,-0.0649824,-0.734647,1.21286,0.10141,-0.414618,1.34526,0.0939797,-0.738802,1.36941,0.0866198,-0.768856,1.22509,21,-1.50372,0.0780535,0.29681,-1.50751,0.0616484,-0.0040493,-1.36285,0.0650714,-0.0346473,-1.49527,-0.101312,0.285382,-1.51941,-0.0938804,-0.038802,-1.37509,-0.08653,-0.0688559,
