tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
-1,-1,-1,3665,149062812,-0.0748717,-0.322092,1.29118,-0.0518194,-0.652651,1.30729,-0.061071,-0.673536,1.21901,0.132117,-0.320441,1.27053,0.128705,-0.662903,1.32283,0.116297,-0.68379,1.23463,66,-1.44118,0.0748717,0.377908,-1.45729,0.0518195,0.0473492,-1.36901,0.0610711,0.0264636,-1.42053,-0.132117,0.37956,-1.47282,-0.128705,0.0370967,-1.38463,-0.116297,0.0162097,
-1,-1,-1,3700,149062843,-0.0749011,-0.321959,1.29115,-0.0516925,-0.652602,1.30736,-0.0606473,-0.671798,1.21926,0.132062,-0.320305,1.27063,0.129376,-0.664493,1.32252,0.117247,-0.683666,1.23452,20,-1.44115,0.0749011,0.378041,-1.45736,0.0516925,0.0473979,-1.36926,0.0606474,0.0282016,-1.42063,-0.132062,0.379695,-1.47252,-0.129376,0.0355072,-1.38452,-0.117247,0.0163345,
-1,-1,-1,3732,149062875,-0.0707958,-0.348591,1.29673,-0.0479214,-0.668299,1.30428,-0.0575978,-0.689022,1.2111,0.124585,-0.358245,1.27288,0.132272,-0.674167,1.32079,0.119396,-0.694967,1.22767,52,-1.44673,0.0707959,0.351409,-1.45428,0.0479215,0.0317008,-1.3611,0.0575979,0.0109783,-1.42288,-0.124584,0.341755,-1.47079,-0.132272,0.0258331,-1.37767,-0.119396,0.00503331,
-1,-1,-1,3766,149062906,-0.0744501,-0.362922,1.30078,-0.0469493,-0.670811,1.3036,-0.0559262,-0.689503,1.21475,0.126723,-0.3748,1.27657,0.132983,-0.676009,1.3202,0.120821,-0.694789,1.23141,84,-1.45078,0.0744502,0.337078,-1.4536,0.0469493,0.0291889,-1.36475,0.0559263,0.0104972,-1.42657,-0.126723,0.3252,-1.4702,-0.132983,0.0239912,-1.38141,-0.120821,0.005211,
-1,-1,-1,3800,149062937,-0.0767968,-0.374048,1.30464,-0.0467383,-0.671939,1.30334,-0.0560713,-0.692013,1.21083,0.127853,-0.386849,1.27988,0.133071,-0.679472,1.321,0.120513,-0.69961,1.22856,7,-1.45464,0.0767969,0.325952,-1.45334,0.0467384,0.0280611,-1.36083,0.0560714,0.00798744,-1.42988,-0.127853,0.313151,-1.471,-0.133071,0.0205283,-1.37856,-0.120513,0.000389993,
-1,-1,-1,3832,149062968,-0.0787592,-0.384145,1.30705,-0.0466827,-0.673034,1.30199,-0.0554942,-0.691907,1.21204,0.128713,-0.396543,1.28184,0.133047,-0.67961,1.32097,0.121012,-0.698571,1.23108,39,-1.45705,0.0787593,0.315855,-1.45199,0.0466828,0.0269661,-1.36204,0.0554942,0.00809342,-1.43184,-0.128713,0.303457,-1.47097,-0.133046,0.0203902,-1.38108,-0.121011,0.00142932,
-1,-1,-1,3865,149063000,-0.0790977,-0.38415,1.30749,-0.0465937,-0.674635,1.30055,-0.0543316,-0.692789,1.21206,0.128827,-0.398092,1.28198,0.133334,-0.68126,1.32049,0.12237,-0.69951,1.23205,71,-1.45749,0.0790977,0.31585,-1.45055,0.0465938,0.0253651,-1.36206,0.0543317,0.00721109,-1.43198,-0.128827,0.301908,-1.47049,-0.133334,0.0187396,-1.38205,-0.12237,0.000490487,
-1,-1,-1,3899,149063046,-0.0793109,-0.383854,1.3078,-0.0464303,-0.675574,1.3007,-0.0537905,-0.693075,1.21338,0.128832,-0.398742,1.28208,0.13357,-0.682323,1.32013,0.122971,-0.699915,1.23287,9,-1.4578,0.0793109,0.316146,-1.4507,0.0464304,0.0244257,-1.36338,0.0537905,0.00692463,-1.43208,-0.128832,0.301258,-1.47013,-0.13357,0.0176766,-1.38287,-0.122971,8.50558e-05,
-1,-1,-1,3932,149063078,-0.0794626,-0.38423,1.30899,-0.0460366,-0.676183,1.30111,-0.0537778,-0.694428,1.21226,0.128834,-0.39894,1.28205,0.133627,-0.682149,1.32002,0.122655,-0.700492,1.23123,41,-1.45899,0.0794627,0.31577,-1.45111,0.0460367,0.0238172,-1.36226,0.0537779,0.00557178,-1.43205,-0.128834,0.30106,-1.47002,-0.133627,0.0178512,-1.38123,-0.122655,-0.000492096,
-1,-1,-1,3965,149063109,-0.0794702,-0.384288,1.30943,-0.0461508,-0.676404,1.30076,-0.0543419,-0.695297,1.21054,0.128846,-0.399054,1.28209,0.133716,-0.682655,1.32,0.122286,-0.701645,1.22983,73,-1.45943,0.0794702,0.315712,-1.45076,0.0461509,0.0235956,-1.36054,0.054342,0.00470281,-1.43209,-0.128846,0.300946,-1.47,-0.133716,0.0173448,-1.37983,-0.122286,-0.00164449,
-1,-1,-1,4000,149063156,-0.0794529,-0.384035,1.30963,-0.0461652,-0.676689,1.30079,-0.0545663,-0.696159,1.20917,0.129007,-0.399064,1.28185,0.133673,-0.682829,1.32005,0.122023,-0.702398,1.22849,27,-1.45963,0.079453,0.315965,-1.45079,0.0461653,0.0233114,-1.35917,0.0545663,0.00384122,-1.43185,-0.129007,0.300936,-1.47005,-0.133673,0.0171711,-1.37849,-0.122023,-0.0023976,
-1,-1,-1,4032,149063187,-0.0794481,-0.383959,1.30978,-0.0460038,-0.677046,1.30098,-0.0545292,-0.697007,1.20817,0.129023,-0.399086,1.28189,0.133691,-0.682895,1.32008,0.121909,-0.702958,1.22733,59,-1.45978,0.0794482,0.316041,-1.45098,0.0460038,0.0229537,-1.35817,0.0545293,0.00299299,-1.43189,-0.129023,0.300914,-1.47008,-0.133691,0.0171051,-1.37733,-0.121909,-0.00295758,
-1,-1,-1,4065,149063218,-0.0793834,-0.383741,1.30992,-0.0461374,-0.677126,1.30093,-0.0547189,-0.697498,1.20716,0.129053,-0.398833,1.28173,0.134102,-0.682269,1.31984,0.122247,-0.702752,1.22613,91,-1.45992,0.0793835,0.316259,-1.45093,0.0461375,0.0228739,-1.35716,0.054719,0.00250238,-1.43173,-0.129053,0.301167,-1.46984,-0.134102,0.0177306,-1.37612,-0.122247,-0.00275207,
-1,-1,-1,4100,149063234,-0.0793212,-0.388118,1.31049,-0.0460893,-0.67714,1.30082,-0.0544273,-0.696973,1.20815,0.12914,-0.398575,1.28147,0.13556,-0.679356,1.31912,0.123915,-0.699338,1.22648,-2,-1.46049,0.0793213,0.311882,-1.45082,0.0460894,0.0228596,-1.35815,0.0544274,0.00302744,-1.43147,-0.12914,0.301425,-1.46912,-0.13556,0.0206439,-1.37648,-0.123914,0.000661671,
-1,-1,-1,4132,149063265,-0.0792461,-0.386624,1.3103,-0.0460901,-0.677167,1.30088,-0.0541691,-0.696554,1.20907,0.12914,-0.398151,1.28109,0.13582,-0.679123,1.31907,0.124421,-0.698663,1.22729,30,-1.4603,0.0792462,0.313376,-1.45088,0.0460902,0.022833,-1.35907,0.0541692,0.00344634,-1.43109,-0.12914,0.301849,-1.46906,-0.13582,0.0208768,-1.37729,-0.124421,0.00133669,
-1,-1,-1,4165,149063296,-0.0794386,-0.387979,1.31022,-0.0459575,-0.676962,1.30068,-0.0537475,-0.696197,1.20976,0.129089,-0.397629,1.28067,0.136171,-0.678531,1.31867,0.125057,-0.697924,1.22778,62,-1.46022,0.0794387,0.312021,-1.45068,0.0459576,0.0230385,-1.35976,0.0537475,0.00380284,-1.43067,-0.129089,0.302371,-1.46867,-0.136171,0.0214694,-1.37778,-0.125057,0.00207579,
