tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
53200851,154619703,0,6733,154620703,-0.109186,-0.474258,1.26536,-0.129242,-0.867321,1.35146,-0.126176,-0.898264,1.21184,0.120559,-0.469561,1.25656,0.131191,-0.862587,1.35263,0.128195,-0.893623,1.21296,17,-1.21466,0.109909,0.225742,-1.30073,0.130036,-0.16732,-1.16112,0.126855,-0.198264,-1.20604,-0.119844,0.230439,-1.30212,-0.130396,-0.162587,-1.16245,-0.127515,-0.193623,
53200851,154619703,0,6767,154620718,-0.109373,-0.474294,1.26772,-0.129092,-0.867557,1.35467,-0.12597,-0.898486,1.21504,0.120464,-0.469715,1.25935,0.131062,-0.862886,1.3546,0.128133,-0.893894,1.21491,33,-1.21174,0.109855,0.225706,-1.29868,0.129631,-0.167557,-1.15905,0.126418,-0.198486,-1.20352,-0.119987,0.230285,-1.29878,-0.130523,-0.162886,-1.15909,-0.127686,-0.193894,
53200851,154619703,0,6800,154620750,-0.109838,-0.474693,1.27593,-0.128875,-0.868864,1.36167,-0.125592,-0.899859,1.22198,0.120687,-0.470703,1.26803,0.131088,-0.864338,1.36116,0.128345,-0.895404,1.22142,65,-1.20941,0.109837,0.225307,-1.29515,0.128901,-0.168864,-1.15546,0.125574,-0.199859,-1.20159,-0.12069,0.229297,-1.29471,-0.131062,-0.164338,-1.15498,-0.128363,-0.195404,
54264679,154620765,1,6833,154620781,-0.110296,-0.473118,1.28559,-0.127085,-0.869447,1.37185,-0.123827,-0.900482,1.23185,0.120639,-0.471503,1.27852,0.130556,-0.864,1.37455,0.127876,-0.895156,1.23449,97,-1.20853,0.109807,0.226882,-1.29479,0.126594,-0.169447,-1.1548,0.123339,-0.200482,-1.20146,-0.121128,0.228497,-1.29749,-0.131047,-0.164,-1.15743,-0.128364,-0.195156,
54264679,154620765,1,6867,154620812,-0.110677,-0.474758,1.29914,-0.128229,-0.871814,1.38161,-0.124347,-0.902847,1.24127,0.120285,-0.47379,1.29235,0.132226,-0.867054,1.3821,0.130135,-0.898174,1.24171,35,-1.20653,0.111232,0.225242,-1.28899,0.128843,-0.171814,-1.14865,0.124861,-0.202847,-1.1999,-0.119736,0.22621,-1.28967,-0.131612,-0.167054,-1.14927,-0.129621,-0.198174,
54264679,154620765,1,6900,154620843,-0.110676,-0.475437,1.31178,-0.130337,-0.871956,1.39022,-0.127024,-0.90311,1.24968,0.120118,-0.47337,1.30393,0.131344,-0.866333,1.39575,0.128689,-0.897637,1.25512,67,-1.20773,0.110984,0.224563,-1.28617,0.130688,-0.171956,-1.14562,0.127299,-0.20311,-1.20001,-0.119814,0.22663,-1.29184,-0.13099,-0.166333,-1.1512,-0.128411,-0.197637,
54264679,154620765,1,6933,154620875,-0.11134,-0.474104,1.32363,-0.130215,-0.871011,1.40684,-0.125113,-0.902374,1.26608,0.120646,-0.47383,1.31668,0.127251,-0.867653,1.4045,0.126518,-0.899045,1.26371,-10,-1.20815,0.111397,0.225896,-1.29135,0.130304,-0.171011,-1.15059,0.125149,-0.202374,-1.20128,-0.120591,0.22617,-1.2891,-0.127163,-0.167653,-1.14874,-0.125306,-0.199045,
54264679,154620765,1,6967,154620921,-0.111904,-0.475721,1.33844,-0.130949,-0.871841,1.41655,-0.12789,-0.903373,1.27558,0.120001,-0.474514,1.33045,0.125911,-0.867807,1.41842,0.123185,-0.899419,1.27738,38,-1.20456,0.113061,0.224279,-1.28266,0.132194,-0.171841,-1.14169,0.128975,-0.203373,-1.19684,-0.118854,0.225486,-1.28482,-0.124664,-0.167807,-1.14378,-0.122098,-0.199419,
54264679,154620765,1,7000,154620937,-0.112671,-0.477744,1.35116,-0.132065,-0.858482,1.42322,-0.129077,-0.890201,1.28192,0.119342,-0.476987,1.34539,0.129109,-0.855703,1.42225,0.126206,-0.887455,1.28092,54,-1.21109,0.113793,0.222256,-1.28312,0.133266,-0.158482,-1.14183,0.130122,-0.190201,-1.20557,-0.118227,0.223013,-1.28244,-0.127909,-0.155703,-1.14111,-0.125162,-0.187455,
54264679,154620765,1,7033,154620984,-0.112876,-0.479352,1.36481,-0.132991,-0.84925,1.43432,-0.130364,-0.881267,1.29272,0.119537,-0.479565,1.35905,0.126201,-0.84432,1.43442,0.122998,-0.876415,1.29276,102,-1.20612,0.113863,0.220648,-1.27561,0.13405,-0.14925,-1.13401,0.131278,-0.181267,-1.2006,-0.118555,0.220435,-1.27597,-0.125143,-0.14432,-1.13431,-0.122084,-0.176415,
