tO,tOW,trigger,tK,tKW,KLKneeX,KLKneeY,KLKneeZ,KLAnkleX,KLAnkleY,KLAnkleZ,KLFootX,KLFootY,KLFootZ,KRKneeX,KRKneeY,KRKneeZ,KRAnkleX,KRAnkleY,KRAnkleZ,KRFootX,KRFootY,KRFootZ,tDiffR,WLKneeX,WLKneeY,WLKneeZ,WLAnkleX,WLAnkleY,WLAnkleZ,WLFootX,WLFootY,WLFootZ,WRKneeX,WRKneeY,WRKneeZ,WRAnkleX,WRAnkleY,WRAnkleZ,WRFootX,WRFootY,WRFootZ,
47872567,154855109,1,26633,154855718,0.509043,-0.419017,1.47641,0.735305,-0.637564,1.63147,0.629731,-0.672718,1.53635,0.575077,-0.44957,1.38284,0.603877,-0.730532,1.40184,0.4994,-0.762191,1.30782,72,-1.28476,-0.636369,0.280983,-1.42852,-0.869978,0.0624355,-1.3387,-0.759857,0.0272818,-1.18806,-0.697726,0.25043,-1.20563,-0.727425,-0.0305321,-1.11686,-0.618455,-0.0621911,
47872567,154855109,1,26667,154855750,0.47236,-0.437902,1.52021,0.581935,-0.703504,1.57541,0.557835,-0.776276,1.48988,0.591556,-0.453373,1.38598,0.616248,-0.730991,1.41492,0.512138,-0.762907,1.32027,10,-1.31076,-0.581557,0.262098,-1.36191,-0.693084,-0.00350404,-1.27732,-0.66586,-0.0762764,-1.17226,-0.695746,0.246627,-1.20027,-0.721483,-0.030991,-1.1095,-0.613971,-0.0629067,
47872567,154855109,1,26700,154855781,0.468785,-0.442514,1.5192,0.574631,-0.712698,1.57826,0.472973,-0.745971,1.48121,0.608497,-0.428711,1.39241,0.627288,-0.739032,1.44804,0.523991,-0.771088,1.35223,42,-1.29183,-0.570349,0.257486,-1.34741,-0.678063,-0.0126975,-1.25372,-0.573298,-0.0459712,-1.16055,-0.705858,0.271289,-1.21554,-0.726451,-0.0390323,-1.12315,-0.620089,-0.0710878,
47872567,154855109,1,26733,154855812,0.44236,-0.443478,1.51298,0.513055,-0.744179,1.60591,0.413374,-0.776729,1.50761,0.612654,-0.431496,1.39979,0.625395,-0.747331,1.47179,0.579122,-0.803827,1.50725,74,-1.26826,-0.536152,0.256522,-1.35915,-0.609462,-0.044179,-1.26372,-0.507026,-0.0767288,-1.15028,-0.703159,0.268504,-1.22188,-0.717942,-0.0473306,-1.25865,-0.672697,-0.103826,
47872567,154855109,1,26767,154855843,0.417456,-0.437493,1.50655,0.424849,-0.737568,1.58477,0.329225,-0.770611,1.48338,0.614017,-0.436261,1.4139,0.625753,-0.744652,1.48808,0.525916,-0.777373,1.38828,12,-1.2394,-0.511515,0.262507,-1.31738,-0.521164,-0.0375681,-1.21879,-0.422653,-0.0706109,-1.14111,-0.705321,0.263739,-1.21493,-0.719193,-0.0446521,-1.11805,-0.616517,-0.0773728,
47872567,154855109,1,26800,154855890,0.394154,-0.433895,1.50497,0.355982,-0.724928,1.56552,0.263165,-0.758165,1.46212,0.609621,-0.442827,1.43481,0.630266,-0.751533,1.51464,0.532095,-0.78459,1.41302,60,-1.20739,-0.484911,0.266105,-1.26896,-0.448414,-0.0249277,-1.16814,-0.352795,-0.058165,-1.13134,-0.698371,0.257173,-1.21057,-0.721198,-0.0515327,-1.11169,-0.620276,-0.0845898,
47872567,154855109,1,26833,154855921,0.37104,-0.438211,1.50387,0.297025,-0.716751,1.54323,0.207455,-0.750176,1.43738,0.602183,-0.447002,1.44942,0.630288,-0.746478,1.52109,0.534292,-0.779977,1.41712,92,-1.18615,-0.459596,0.261789,-1.22746,-0.38665,-0.0167513,-1.12402,-0.294307,-0.0501755,-1.1256,-0.689216,0.252998,-1.1965,-0.719209,-0.0464785,-1.09511,-0.620493,-0.0799769,
47872567,154855109,1,26867,154855968,0.350841,-0.445604,1.50803,0.239993,-0.713494,1.52578,0.153645,-0.746851,1.41756,0.589293,-0.446468,1.46864,0.629002,-0.739216,1.53938,0.535213,-0.773052,1.43301,31,-1.16107,-0.440109,0.254396,-1.18184,-0.329786,-0.0134939,-1.07601,-0.240523,-0.0468509,-1.11521,-0.6774,0.253532,-1.18484,-0.71902,-0.0392163,-1.08107,-0.62237,-0.073052,
47872567,154855109,1,26933,154856000,0.280437,-0.453885,1.51446,0.172911,-0.698323,1.48617,0.0935228,-0.731795,1.37235,0.573426,-0.447737,1.49635,0.618961,-0.751915,1.59844,0.531355,-0.786159,1.48629,63,-1.14731,-0.370434,0.246115,-1.12203,-0.26216,0.00167739,-1.01046,-0.179628,-0.0317947,-1.12103,-0.662804,0.252263,-1.22181,-0.711169,-0.0519153,-1.11215,-0.620468,-0.0861591,
47872567,154855109,1,26967,154856046,0.274467,-0.45449,1.5155,0.140178,-0.70377,1.47891,0.0626204,-0.73696,1.36401,0.566576,-0.448611,1.50681,0.618561,-0.748513,1.60475,0.551758,-0.736328,1.66113,2,-1.12136,-0.357509,0.24551,-1.088,-0.22238,-0.00376958,-0.975001,-0.142085,-0.0369597,-1.10566,-0.649326,0.251388,-1.20231,-0.703648,-0.0485126,-1.26029,-0.638219,-0.0363281,
